Held-out family,Mean MAE deterioration ratio,Mean ΔR²,Mean holdout MAE (°C),Mean max Tanimoto,Test structures,Tg median shift (°C),Tg IQR ratio
Polysiloxanes/silanes,2.9949763311756827,-2.3974331318715816,86.65201820724225,0.36303120808948397,239,-143.0,0.5905172413793104
Polyamides/thioamides,2.231958682271219,-0.6166107052925485,64.07774090335582,0.44076416318569434,401,15.0,0.8423529411764705
Polyimides/thioimides,2.1382268630322914,-0.6378579034651517,64.59436602629611,0.35305280395619104,324,157.45,1.161231884057971
Polysulfides,2.1127120267768653,-0.9110284625818137,61.49829234073715,0.37092577234054597,85,-109.0,0.5203389830508475
Polyimines,2.0226589336406047,-0.24040393926638956,59.187001521107724,0.36605427543994074,216,2.0,0.9295977011494253
Polyvinyls,1.9581378138388432,-0.856862873772674,57.149909016567136,0.3791905873872972,241,-90.0,0.5524861878453039
Polyphenylenes,1.873268500094027,-0.7833858575165605,55.63608857518983,0.48982119264443297,100,1.0,0.6895093062605753
Polyurethanes/thiourethanes,1.8170408467007884,-2.95700963288612,53.31230918629399,0.49169879408027173,76,-90.0,0.22259554808903823
Polyoxides/ethers/acetals,1.569185804808393,-0.359065003361979,46.936687376084755,0.3958981169739965,298,-17.0,0.8454545454545453
Polycarbonates/thiocarbonates,1.4560305777879305,-0.31096921940743727,42.83555970941981,0.5453213962554894,148,3.0,0.6463483146067417
Polyesters/thioesters,1.4471411678826165,-0.2004945640603647,42.01969225215454,0.5236852859444541,424,-76.5,0.6634078212290503
